group7136-2, hypothetical protein
group14190, hypothetical protein
group14191, hypothetical protein
group6187-2, PilT protein domain protein
group15979, acetyl-CoA synthetase
group15978, hypothetical protein
group15977, hypothetical protein
group15976, hypothetical protein
group15975, hypothetical protein
group15974, hypothetical protein
group15973, hypothetical protein
group15972, hypothetical protein
group15971, hypothetical protein
group15970, hypothetical protein
group4362, D-amino acid oxidase
group14598, putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
group14599, hypothetical protein
group14592, histidine kinase
group14593, two component transcriptional regulator%2C winged helix family
group14590, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group14591, binding-protein-dependent transport systems inner membrane component
group14596, 4-aminobutyrate aminotransferase
group14597, hypothetical protein
group14594, two component transcriptional regulator%2C winged helix family
group14595, 2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase
group16998, hypothetical protein
group16999, hypothetical protein
group16994, hypothetical protein
group16995, hypothetical protein
group16996, hypothetical protein
group16997, hypothetical protein
group16990, transposase
group16991, transposase
group16992, transposase
group16993, transposase
group14628, hypothetical protein
group14629, hypothetical protein
group14624, hypothetical protein
group14625, RDD domain containing protein
group14626, hypothetical protein
group14627, methylase
group14620, hypothetical protein
group14621, hypothetical protein
group14622, hypothetical protein
group14623, hypothetical protein
group1494, sulfatase
group16666, MFS transporter
group16667, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group16664, hypothetical protein
group16665, ACS59142.1 nitrogenase cofactor biosynthesis protein NifB (plasmid)
group6449-2, hypothetical protein
group16663, transcriptional regulator%2C LysR family
group16660, ACS59134.1 transcriptional regulator%2C LysR family (plasmid)
group16661, Mono(2-hydroxyethyl) terephthalate hydrolase
group16668, inner-membrane translocator
group16669, putative sugar ABC transporter%2C substrate-binding protein
group1495, hypothetical protein
group13018, hypothetical protein
group13019, hypothetical protein
group13016, short-chain dehydrogenase/reductase SDR
group13017, hypothetical protein
group13014, ATP-dependent DNA helicase Rep
group13015, hypothetical protein
group13012, Glycosyl hydrolase family 32 domain protein
group13013, hypothetical protein
group13010, Inorganic diphosphatase
group13011, Inorganic diphosphatase
group6884-2, histone family protein DNA-binding protein
group1497, Methyltransferase type 11
group9761-2, hypothetical protein
group2378-5, transposase
group2378-4, transposase
group2378-7, transposase
group2378-6, transposase
group2378-3, transposase
group2378-2, transposase
group2378-9, transposase
group2378-8, transposase
group6261-2, hydrolase
group13908, hypothetical protein
group13909, hypothetical protein
group1493, hypothetical protein
group13904, type VI secretion protein
group13905, type VI secretion protein
group13906, type IV secretion protein VirB10
group13907, type VI secretion protein
group13900, MscS Mechanosensitive ion channel
group13901, transposase
group13902, hypothetical protein
group13903, type VI secretion protein
group5828, extracellular solute-binding protein family 1
group5826, binding-protein-dependent transport systems inner membrane component
group8523, transcriptional regulator%2C LuxR family
group8522, transcriptional regulator%2C LuxR family
group8521, hypothetical protein
group8520, Hemolysin-type calcium-binding region
group8527, hypothetical protein
group8526, glutathione-dependent formaldehyde-activating GFA
group8525, hypothetical protein
group8524, hypothetical protein
group8529, hypothetical protein
group8528, hypothetical protein
group15506, potassium transporter Kup
group15507, hypothetical protein
group15504, aminotransferase class V
group15505, potassium transporter Kup
group15502, hypothetical protein
group15503, hypothetical protein
group15500, hypothetical protein
group15501, hypothetical protein
group15508, histidine kinase
group15509, hypothetical protein
group2426-2, extracellular solute-binding protein family 1
group3434, response regulator receiver protein
group3435, hypothetical protein
group3436, hypothetical protein
group3437, hypothetical protein
group3430, hypothetical protein
group3431, putative acetyltransferase protein
group3432, hypothetical protein
group3433, two component transcriptional regulator%2C winged helix family
group3438, tRNA/rRNA methyltransferase (SpoU)
group3439, membrane protein
group9502, hypothetical protein
group9503, hypothetical protein
group9500, hypothetical protein
group9501, hypothetical protein
group3935-2, ACS59132.1 Beta-ketoacyl synthase (plasmid)
group9506, hypothetical protein
group9507, hypothetical protein
group9504, Inner membrane protein YccF
group9505, hypothetical protein
group17427, hypothetical protein
group17426, hypothetical protein
group17425, hypothetical protein
group17424, hypothetical protein
group17423, hypothetical protein
group17422, hypothetical protein
group17421, succinic semialdehyde dehydrogenase
group17420, hypothetical protein
group7538-2, WGR domain protein
group7841, hypothetical protein
group7840, transposase
group7843, transposase IS5 family protein
group7842, TRAG family protein
group7845, transposase IS110 family protein
group7844, transposase
group7847, methyltransferase FkbM family protein
group7846, Alpha/beta hydrolase fold-3 domain protein
group7849, hypothetical protein
group7848, arginyl-tRNA synthetase
group928, BtpA protein
group929, hypothetical protein
group924, hypothetical protein
group925, Inositol-phosphate phosphatase
group926, PfkB domain protein
group927, transcriptional activator%2C TenA family
group920, binding-protein-dependent transport systems inner membrane component
group921, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group922, methyl-accepting chemotaxis protein
group923, CheW protein
group8078-2, hypothetical protein
group8078-3, hypothetical protein
group11670, hypothetical protein
group11671, hypothetical protein
group11672, hypothetical protein
group11673, choline dehydrogenase
group11674, hypothetical protein
group11675, hypothetical protein
group11676, integral membrane protein
group11677, hypothetical protein
group11678, hypothetical protein
group11679, peptidase C14 caspase catalytic subunit p20
group19087, hypothetical protein
group19086, hypothetical protein
group19085, hypothetical protein
group19084, hypothetical protein
group19083, hypothetical protein
group19082, hypothetical protein
group19081, hypothetical protein
group19080, hypothetical protein
group19089, hypothetical protein
group19088, hypothetical protein
group4769, Cellulase
group4768, membrane protein
group4761, extracellular solute-binding protein family 5
group4760, binding-protein-dependent transport systems inner membrane component
group4763, peptidase S58 DmpA
group4762, transcriptional regulator%2C LysR family
group4765, aminotransferase class-III
group4764, hypothetical protein
group4767, acyltransferase 3
group4766, formyltetrahydrofolate deformylase
group8648, Phosphoketolase
group8649, Phosphoketolase
group1199, pentapeptide repeat protein
group1198, GCN5-related N-acetyltransferase
group1195, Glyoxalase/bleomycin resistance protein/dioxygenase
group1194, hypothetical protein
group8640, transcriptional regulator%2C XRE family
group1196, UspA domain protein
group1191, ACS59136.1 polysaccharide deacetylase (plasmid)
group8647, hypothetical protein
group8644, FAD dependent oxidoreductase
group1192, hypothetical protein
group2428, OmpA/MotB domain protein
group2429, extracellular solute-binding protein family 3
group2424, binding-protein-dependent transport systems inner membrane component
group2425, binding-protein-dependent transport systems inner membrane component
group2426, extracellular solute-binding protein family 1
group2427, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group2420, deoxyribose-phosphate aldolase
group2421, Aldehyde dehydrogenase (NAD(+))
group2422, RbsD or FucU transport
group2423, ribokinase
group20487, hypothetical protein
group20486, hypothetical protein
group20485, hypothetical protein
group20484, hypothetical protein
group20483, hypothetical protein
group20482, transposase
group20481, hypothetical protein
group20480, hypothetical protein
group20489, hypothetical protein
group20488, hypothetical protein
group17737, hypothetical protein
group17736, transposase
group17735, hypothetical protein
group10102, hypothetical protein
group17733, PIN domain protein family protein
group10104, hypothetical protein
group10107, glyoxalase
group10106, hypothetical protein
group10109, hypothetical protein
group10108, hypothetical protein
group17739, hypothetical protein
group17738, hypothetical protein
group16464, DNA helicase
group16465, hypothetical protein
group16466, hypothetical protein
group16467, cytochrome C
group16460, aldehyde-activating protein
group16461, hypothetical protein
group16462, hypothetical protein
group16463, short-chain dehydrogenase/reductase SDR
group16468, putative cytochrome c-like protein
group16469, hypothetical protein
group9069, hypothetical protein
group9068, hypothetical protein
group9065, hypothetical protein
group9064, hypothetical protein
group9067, hypothetical protein
group9066, hypothetical protein
group9061, glycoside hydrolase 15-related
group9060, hypothetical protein
group9063, transposase
group9062, transposase IS4 family protein
group1739, hypothetical protein
group1738, hypothetical protein
group1731, putative signal transduction protein with CBS domains
group1730, 3-Oxoacyl-(acyl-carrier-protein (ACP)) synthase III domain protein
group1733, ABC transporter related
group1732, hypothetical protein
group1735, UspA domain protein
group1734, heavy metal translocating P-type ATPase
group1737, hypothetical protein
group1736, UspA domain protein
group3779, Creatininase
group3778, transcriptional regulator%2C MarR family
group3777, transcriptional regulator%2C LacI family
group3776, dihydrofolate reductase
group3775, hypothetical protein
group3774, stress protein
group3773, hypothetical protein
group3772, hypothetical protein
group3771, peptidase C26
group3770, TRAP dicarboxylate transporter- DctP subunit
group9689, hypothetical protein
group9688, putative transcriptional regulator%2C TetR family
group9681, ACS59146.1 Electron transfer flavoprotein alpha subunit (plasmid)
group9680, ACS59145.1 Electron-transferring-flavoprotein dehydrogenase (plasmid)
group9683, Integrase catalytic region
group9682, hypothetical protein
group9685, integrase family protein
group9684, Alcohol dehydrogenase zinc-binding domain protein
group9687, hypothetical protein
group9686, transposase IS5 family protein
group119, dihydroorotase%2C homodimeric type
group118, putative fructose transport system kinase
group115, periplasmic binding protein/LacI transcriptional regulator
group114, ROK family protein
group117, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group116, Monosaccharide-transporting ATPase
group111, diguanylate cyclase
group110, hydrolase or acyltransferase (alpha/beta hydrolase superfamily)-like protein
group113, RbsD or FucU transport
group112, hypothetical protein
group5317, RES domain protein
group5316, putative hydrolase protein
group10681, hypothetical protein
group5315, hypothetical protein
group12617, hypothetical protein
group12616, hypothetical protein
group12615, hypothetical protein
group12614, hypothetical protein
group12613, hypothetical protein
group12612, hypothetical protein
group12611, transposase IS3/IS911 family protein
group12610, IS66 Orf2 family protein
group5313, transposase IS3/IS911 family protein
group12619, hypothetical protein
group5312, putative transcriptional regulator protein%2C ROK family
group5311, oxidoreductase
group5310, extracellular solute-binding protein family 1
group6859, hypothetical protein
group6858, 4-diphosphocytidyl-2C-methyl-D-erythritol synthase
group6851, binding-protein-dependent transport systems inner membrane component
group6850, binding-protein-dependent transport systems inner membrane component
group6853, isochorismatase hydrolase
group6852, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group6855, glycoside hydrolase family 3 domain protein
group6854, transcriptional regulator%2C MarR family
group6857, hypothetical protein
group6856, hypothetical protein
group7108, ABC transporter permease
group7109, ABC transporter permease
group7104, WGR domain protein
group5764-2, hypothetical protein
group7106, transcriptional regulator%2C SARP family
group7107, sugar ABC transporter
group7100, membrane protein
group7101, hypothetical protein
group7102, glycosyl transferase family 2
group7103, sugar isomerase (SIS)
group10923, hypothetical protein
group10922, hypothetical protein
group10921, hypothetical protein
group10920, hypothetical protein
group10927, transposase
group10926, hypothetical protein
group10925, beta-lactamase
group10924, hypothetical protein
group10929, transposase
group10928, tyrosine recombinase XerC
group15344, hypothetical protein
group15345, hypothetical protein
group15346, hypothetical protein
group15347, hypothetical protein
group15340, ABC transporter substrate-binding protein
group15341, hypothetical protein
group15342, hypothetical protein
group15343, hypothetical protein
group15348, hypothetical protein
group15349, hypothetical protein
group11056, hypothetical protein
group11057, chloramphenicol phosphotransferase
group15838, TRAG family protein
group15839, transposase
group15832, hypothetical protein
group15833, hypothetical protein
group15830, hypothetical protein
group15831, hypothetical protein
group15836, integrase family protein
group15837, hypothetical protein
group15834, hypothetical protein
group15835, hypothetical protein
group19267, hypothetical protein
group11059, dehydrogenase
group11339, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group11338, phosphate ABC transporter%2C inner membrane subunit PstA
group14129, hypothetical protein
group14128, hypothetical protein
group11331, hypothetical protein
group14126, hypothetical protein
group14125, hypothetical protein
group14124, hypothetical protein
group14123, hypothetical protein
group14122, hypothetical protein
group14121, hypothetical protein
group14120, hypothetical protein
group1087, major facilitator superfamily MFS_1
group17478, hypothetical protein
group17479, hypothetical protein
group1086, NAD(P)H quinone oxidoreductase%2C PIG3 family
group17474, membrane protein
group17475, hypothetical protein
group17476, hypothetical protein
group17477, RNA polymerase%2C sigma-24 subunit%2C ECF subfamily
group17470, Patatin
group1085, diguanylate cyclase
group17472, transcriptional regulator%2C HxlR family
group17473, nucleoside-diphosphate sugar epimerase
group1084, putative addiction module antidote protein%2C CopG/Arc/MetJ family
group1083, hypothetical protein
group1082, transcriptional regulator
group1081, betaine aldehyde dehydrogenase
group1080, choline dehydrogenase
group1089, major facilitator superfamily MFS_1
group1088, putative transcriptional regulator
group6448-2, hypothetical protein
group13209, hypothetical protein
group13208, hypothetical protein
group13207, hypothetical protein
group13206, putative sugar epimerase YhfK
group13205, Catalase
group13204, hypothetical protein
group13203, Alcohol dehydrogenase zinc-binding domain protein
group13202, hypothetical protein
group13201, transcriptional regulator%2C LysR family
group13200, two component transcriptional regulator%2C LuxR family
group12158, hypothetical protein
group12159, transposase
group12154, transposase IS21
group12155, transposase
group12156, transposase IS21
group12157, feruloyl-CoA synthetase
group12150, Group II intron-encoded protein LtrA
group12151, hypothetical protein
group12152, transposase
group12153, Integrase catalytic region
group8488, oxidoreductase
group8489, hypothetical protein
group8484, cupin
group8485, succinate-semialdehyde dehdyrogenase
group8486, multidrug DMT transporter permease
group8487, threonine dehydratase
group8480, homoserine kinase
group8481, haloacid dehalogenase%2C type II
group8482, Pyridoxal-5'-phosphate-dependent protein beta subunit
group8483, GNAT family acetyltransferase
group2628, response regulator receiver protein
group2629, hypothetical protein
group2626, sulphate transporter
group2627, hypothetical protein
group2624, NmrA family protein
group2625, transcriptional regulator%2C LysR family
group2622, transcriptional regulator%2C AraC family
group2623, short-chain dehydrogenase/reductase SDR
group2620, major facilitator superfamily MFS_1
group2621, Methyltransferase type 11
group5164, GntR family transcriptional regulator
group5165, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group5166, ectoine/hydroxyectoine ABC transporter solute-binding protein
group5167, amino acid ABC transporter permease
group5160, Alcohol dehydrogenase zinc-binding domain protein
group5161, aminotransferase class-III
group5162, Aldehyde Dehydrogenase
group5163, transcriptional regulator%2C AsnC family
group5168, ectoine/hydroxyectoine ABC transporter%2C permease protein EhuD
group5169, ectoine utilization protein EutA
group2194, Patatin
group2195, putative signal transduction protein with CBS domains
group2196, Rhomboid family protein
group2197, hypothetical protein
group2190, membrane protein
group2191, nitrogen-fixing NifU domain protein
group2192, GTP cyclohydrolase I
group2193, Phosphoribosyl-AMP cyclohydrolase
group2198, type IV pilus assembly PilZ
group2199, proline iminopeptidase
group3571, inner-membrane translocator
group3570, Extracellular ligand-binding receptor
group3573, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group3572, ABC transporter permease
group3575, outer membrane adhesin like proteiin
group3574, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group3577, hypothetical protein
group3576, tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
group3579, hypothetical protein
group3578, diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(s)
group18929, hypothetical protein
group18928, type IV secretion/conjugal transfer ATPase%2C VirB4 family
group18923, hypothetical protein
group18922, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group6414-2, hypothetical protein
group18920, hypothetical protein
group18927, hypothetical protein
group18926, Glyoxalase/bleomycin resistance protein/dioxygenase
group18925, hypothetical protein
group18924, hypothetical protein
group2378-11, transposase
group2378-10, transposase
group2378-12, transposase
group7474, transcriptional regulator
group7475, hypothetical protein
group7476, cupin
group7477, Alcohol dehydrogenase zinc-binding domain protein
group7470, prevent-host-death protein
group7471, hypothetical protein
group6767-3, acetyl-CoA synthetase
group7473, hypothetical protein
group2572, dihydroxyacetone kinase%2C L subunit
group7478, type III effector Hrp-dependent outers
group7479, amidohydrolase
group2573, dihydroxyacetone kinase%2C phosphotransfer subunit
group7316, hemolysin secretion protein D
group2578, hypothetical protein
group2579, Acetyl xylan esterase
group19322, hypothetical protein
group19323, hypothetical protein
group19320, hypothetical protein
group19321, RNA polymerase%2C sigma 54 subunit%2C RpoN
group19326, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group19327, hypothetical protein
group19324, hypothetical protein
group19325, hypothetical protein
group19328, hypothetical protein
group19329, peptidase S49
group10800, Glyoxalase/bleomycin resistance protein/dioxygenase
group10801, arabinose ABC transporter permease
group10802, NADPH-dependent FMN reductase
group10803, short-chain dehydrogenase/reductase SDR
group10804, two component transcriptional regulator%2C LuxR family
group10805, PAS/PAC sensor signal transduction histidine kinase
group10806, response regulator receiver protein
group10807, PAS/PAC sensor signal transduction histidine kinase
group10808, hypothetical protein
group10809, PAS/PAC sensor signal transduction histidine kinase
group3931-2, ACS59137.1 glycosyl transferase family 2 (plasmid)
group14329, hypothetical protein
group14328, hypothetical protein
group14325, hypothetical protein
group14324, hypothetical protein
group14327, hypothetical protein
group14326, hypothetical protein
group4350, hypothetical protein
group4351, uroporphyrinogen III synthase
group4352, porphobilinogen deaminase
group14322, hypothetical protein
group17672, hypothetical protein
group17673, hypothetical protein
group17670, hypothetical protein
group1267-2, cytochrome C biogenesis protein CcdA
group17676, hypothetical protein
group17677, hypothetical protein
group17674, Ti-type conjugative transfer relaxase TraA
group17675, hypothetical protein
group5407, TetR family transcriptional regulator
group5406, drug resistance transporter%2C Bcr/CflA subfamily
group17678, cytochrome c oxidase accessory protein CcoG
group17679, hypothetical protein
group5403, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group5402, binding-protein-dependent transport systems inner membrane component
group5401, FAD dependent oxidoreductase
group5400, CoA transferase
group18493, alkylhydroperoxidase like protein%2C AhpD family
group18492, hypothetical protein
group18491, hypothetical protein
group18490, alkylhydroperoxidase like protein%2C AhpD family
group18497, hypothetical protein
group18496, hypothetical protein
group18495, hypothetical protein
group17044, hypothetical protein
group18499, hypothetical protein
group18498, modification methylase
group17047, hypothetical protein
group17046, TRAG family protein
group17041, hypothetical protein
group17040, hypothetical protein
group14497, hypothetical protein
group14496, histone family protein DNA-binding protein
group14495, hypothetical protein
group14494, MarR family transcriptional regulator
group14493, hypothetical protein
group14492, NADH-quinone oxidoreductase%2C B subunit
group14491, putative amino acid ABC transporter%2C substrate-binding protein
group14490, hypothetical protein
group17042, hypothetical protein
group14499, hypothetical protein
group14498, hypothetical protein
group10376, Alcohol dehydrogenase GroES domain protein
group10377, dihydroxyacetone kinase
group10374, hypothetical protein
group10375, aldo/keto reductase
group10372, UspA domain protein
group10373, histidine kinase
group10370, hypothetical protein
group10371, hypothetical protein
group10378, (4S)-4-hydroxy-5-phosphonooxypentane-2%2C3-dione isomerase
group10379, major facilitator superfamily MFS_1
group18145, transcriptional regulator%2C LysR family
group18144, 3-hydroxybutyrate dehydrogenase
group18147, MFS transporter
group18146, hypothetical protein
group18141, hypothetical protein
group18140, hypothetical protein
group18143, Patatin
group18142, hypothetical protein
group18149, hypothetical protein
group18148, hypothetical protein
group20722, hypothetical protein
group20723, hypothetical protein
group20720, hypothetical protein
group20721, hypothetical protein
group20726, hypothetical protein
group20727, hypothetical protein
group20724, single-strand binding protein
group20725, hypothetical protein
group20728, hypothetical protein
group20729, hypothetical protein
group9186, hypothetical protein
group9187, hypothetical protein
group9184, transcriptional regulator%2C XRE family
group9185, hypothetical protein
group9182, hypothetical protein
group9183, hypothetical protein
group9180, extracellular solute-binding protein family 1
group9181, prevent-host-death family protein
group9188, hypothetical protein
group9189, signal peptide protein
group14501, hypothetical protein
group14500, hypothetical protein
group14503, hypothetical protein
group16235, tRNA3(Ser)-specific nuclease WapA
group16234, hypothetical protein
group16237, Xyloglucanase
group16236, hypothetical protein
group16231, hypothetical protein
group16230, hypothetical protein
group16233, hypothetical protein
group16232, hypothetical protein
group14505, Thymidylate kinase
group16239, hypothetical protein
group16238, hypothetical protein
group11756, hypothetical protein
group9238, GCN5-related N-acetyltransferase
group9239, hypothetical protein
group9234, adenylate/guanylate cyclase with TPR repeats
group9235, outer membrane autotransporter barrel domain protein
group9236, hypothetical protein
group9237, AsnC family transcriptional regulator
group9230, hypothetical protein
group9231, hypothetical protein
group9232, hypothetical protein
group9233, hypothetical protein
group13777, tyrosine recombinase XerC
group13776, XRE family transcriptional regulator
group13775, hypothetical protein
group13774, transposase
group13773, hypothetical protein
group13772, DegT/DnrJ/EryC1/StrS aminotransferase
group13771, hypothetical protein
group13770, LacI family transcriptional regulator
group13779, IS66 Orf2 family protein
group13778, hypothetical protein
group11959, hypothetical protein
group11958, short-chain dehydrogenase/reductase SDR
group11951, hypothetical protein
group11950, signal peptide protein
group11953, transcriptional regulator%2C XRE family
group11952, conjugal transfer protein TrbD
group11955, Antibiotic biosynthesis monooxygenase
group11954, Tyrosine recombinase XerC
group11957, hypothetical protein
group11956, inner-membrane translocator
group6468, hypothetical protein
group6469, hypothetical protein
group328, CheW protein
group329, MCP methyltransferase%2C CheR-type
group6464, S-(hydroxymethyl)glutathione synthase
group327, CheA signal transduction histidine kinase
group6466, transposase IS630-like protein
group6467, transcriptional regulator%2C LysR family
group6460, hypothetical protein
group6461, hypothetical protein
group6462, glutathione-dependent formaldehyde-activating GFA
group321, sodium/hydrogen exchanger
group7739, 5-oxoprolinase (ATP-hydrolyzing)
group7738, FAD dependent oxidoreductase
group7737, Malate/L-lactate dehydrogenase
group7736, binding-protein-dependent transport systems inner membrane component
group7735, polyamine ABC transporter permease
group7734, hypothetical protein
group7733, prevent-host-death family protein
group7732, major facilitator transporter
group7731, signal transduction histidine kinase
group7730, hypothetical protein
group12424, transposase IS3/IS911 family protein
group12425, hypothetical protein
group12426, hypothetical protein
group12427, hypothetical protein
group12420, hypothetical protein
group12421, short-chain dehydrogenase/reductase SDR
group12422, tyrosine recombinase XerD
group12423, hypothetical protein
group12428, hypothetical protein
group12429, Integrase catalytic region
group5680-2, LysR family transcriptional regulator
group14868, hypothetical protein
group14869, adenylate/guanylate cyclase with TPR repeats
group14866, hypothetical protein
group14867, hypothetical protein
group14864, GTP pyrophosphokinase YjbM
group14865, Phosphoglycolate phosphatase
group14862, transposase
group14863, transposase
group14860, hypothetical protein
group14861, Serine/threonine phosphatase stp
group15643-2, hypothetical protein
group3620, transcriptional regulator%2C ArsR family
group3626, transketolase
group17881, hypothetical protein
group17880, hypothetical protein
group17883, hypothetical protein
group17882, hypothetical protein
group17885, hypothetical protein
group17884, hypothetical protein
group17887, hypothetical protein
group17886, hypothetical protein
group17889, hypothetical protein
group17888, hypothetical protein
group3973-2, two component transcriptional regulator%2C winged helix family
group5678-3, hypothetical protein
group5678-2, hypothetical protein
group8853, hypothetical protein
group8852, hypothetical protein
group8851, transposase IS4 family protein
group8850, hypothetical protein
group8857, hypothetical protein
group8856, hypothetical protein
group8855, glutathione-dependent formaldehyde-activating GFA
group8854, hypothetical protein
group8859, transposase
group8858, hypothetical protein
group4834, transcriptional regulator
group13438, hypothetical protein
group13439, hypothetical protein
group13434, hypothetical protein
group13435, hypothetical protein
group13436, hypothetical protein
group13437, ROK family protein
group13430, transcriptional regulator
group13431, hypothetical protein
group13432, hypothetical protein
group13433, hypothetical protein
group4832, LysR family transcriptional regulator
group11834, monooxygenase FAD-binding protein
group11152-2, methyl-accepting chemotaxis sensory transducer
group4838, transcriptional regulator%2C AraC family
group4118, hypothetical protein
group4119, uroporphyrinogen decarboxylase
group4116, shikimate 5-dehydrogenase
group4117, maf protein
group4114, DNA polymerase III%2C epsilon subunit
group4115, dephospho-CoA kinase
group4112, FxsA cytoplasmic membrane protein
group4113, preprotein translocase subunit SecB
group4110, MltA domain protein
group4111, import inner membrane translocase subunit Tim44
group5641, hypothetical protein
group5640, hypothetical protein
group5643, glycosyl transferase group 1
group5642, membrane protein
group5645, exopolysaccharide biosynthesis protein
group5644, glycosyl transferase family 2
group5647, LysR family transcriptional regulator
group5646, hypothetical protein
group5649, acyl-CoA dehydrogenase domain protein
group5648, cupin
group1544, hypothetical protein
group1545, NADH-ubiquinone/plastoquinone oxidoreductase chain 3
group1542, hypothetical protein
group1543, glutathione peroxidase
group1540, hypothetical protein
group1541, hypothetical protein
group8145, transcriptional regulator%2C MarR family
group8144, LuxR family transcriptional regulator
group8147, WGR domain protein
group8146, hypothetical protein
group8141, transposase IS630-like protein
group8140, molecular chaperone Hsp20
group8143, binding-protein-dependent transport systems inner membrane component
group8142, ACS59134.1 transcriptional regulator%2C LysR family (plasmid)
group18303, periplasmic binding protein/LacI transcriptional regulator
group18302, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group18301, inner-membrane translocator
group18300, succinic semialdehyde dehydrogenase
group8149, aminoglycoside phosphotransferase
group8148, GNAT family acetyltransferase
group5399, Enoyl-CoA hydratase/isomerase
group5398, transcriptional regulator%2C LysR family
group14507, autoinducer synthesis protein
group14506, hypothetical protein
group2011, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group2010, binding-protein-dependent transport systems inner membrane component
group2013, hypothetical protein
group2012, hypothetical protein
group2015, glutathione-dependent formaldehyde-activating GFA
group2014, hypothetical protein
group2017, 5-dehydro-4-deoxyglucarate dehydratase
group2016, cupin
group2019, GntR domain protein
group2018, Mannonate dehydratase
group3944, hypothetical protein
group3945, hypothetical protein
group3946, hypothetical protein
group3947, ferredoxin III%2C nif-specific
group3940, permease for cytosine/purines uracil thiamine allantoin
group3941, transposase
group3942, permease for cytosine/purines uracil thiamine allantoin
group3943, isochorismatase hydrolase
group3948, RNA polymerase%2C sigma 54 subunit%2C RpoN
group3949, RNA polymerase%2C sigma 54 subunit%2C RpoN
group9438, hypothetical protein
group9439, Integrase catalytic region
group9436, hypothetical protein
group9437, hypothetical protein
group9434, hypothetical protein
group9435, hypothetical protein
group9432, transposase
group9433, hypothetical protein
group9430, short-chain dehydrogenase/reductase SDR
group9431, transposase
group19951, hypothetical protein
group19950, hypothetical protein
group19953, hypothetical protein
group19952, hypothetical protein
group19955, hypothetical protein
group19954, hypothetical protein
group19957, hypothetical protein
group19956, hypothetical protein
group19959, hypothetical protein
group19958, hypothetical protein
group20968, hypothetical protein
group20969, Aromatic-amino-acid transaminase
group20960, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group20961, NrdI protein
group20962, NrdI protein
group20963, 5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase
group20964, hypothetical protein
group20965, hypothetical protein
group20966, hypothetical protein
group20967, hypothetical protein
group3056, hypothetical protein
group3057, hypothetical protein
group3054, hypothetical protein
group3055, hypothetical protein
group3052, hypothetical protein
group3053, hypothetical protein
group3050, methyltransferase FkbM family protein
group3051, hypothetical protein
group3058, Carbonic anhydrase
group3059, hypothetical protein
group6668, Nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase
group6669, demethylmenaquinone methyltransferase protein
group6666, MmgE/PrpD family protein
group6667, ornithine cyclodeaminase/mu-crystallin
group6664, two component transcriptional regulator%2C winged helix family
group6665, Amidohydrolase 3
group6662, band 7 protein
group6663, serine protease
group6660, hypothetical protein
group6661, elongation factor G domain IV
group7531, hypothetical protein
group7530, glycosyl transferase group 1
group7533, Phosphoketolase
group7532, Alcohol dehydrogenase zinc-binding domain protein
group7535, transposase IS110 family protein
group7534, transcriptional regulator%2C XRE family
group7537, DNA repair protein
group7536, hypothetical protein
group7539, hypothetical protein
group7538, WGR domain protein
group8099-2, serine recombinase
group5773-3, Conjugal transfer TrbD family protein
group5773-2, Conjugal transfer TrbD family protein
group1977, MazG family protein
group1976, GTP-binding proten HflX
group1975, RNA chaperone Hfq
group1974, aminotransferase class IV
group1973, ACS59143.1 sigma54 specific transcriptional regulator%2C Fis family (plasmid)
group1972, multi-sensor signal transduction histidine kinase
group1971, transcriptional regulator%2C TraR/DksA family
group1970, sulfatase
group1979, uroporphyrin-III C-methyltransferase
group1978, CMP/dCMP deaminase zinc-binding protein
group4259, polysaccharide biosynthesis protein
group4258, glycosyl transferase group 1
group4251, Lysine--tRNA ligase
group4250, translation elongation factor P
group4253, hypothetical protein
group4252, lysine 2%2C3-aminomutase YodO family protein
group4255, hypothetical protein
group4254, acyl-CoA dehydrogenase domain protein
group4257, glycoside hydrolase family 2 sugar binding protein
group4256, hypothetical protein
group14924, hypothetical protein
group14512, hypothetical protein
group14513, hypothetical protein
group14510, hypothetical protein
group14511, hypothetical protein
group14516, Gentisate 1%2C2-dioxygenase
group14517, 5-carboxymethyl-2-hydroxymuconate Delta-isomerase
group14514, hypothetical protein
group14515, transcriptional regulator%2C MarR family
