group7136-2, chromosome-01
group7345, chromosome-01
group7348, chromosome-05
group7349, chromosome-00
group3954-2, fragment
group12062-2, fragment
group6965, fragment
group6964, fragment
group6967, fragment
group6966, fragment
group6961, fragment
group6960, fragment
group6963, fragment
group6962, fragment
group6969, fragment
group6968, fragment
group13718-2, fragment
group6441-3, fragment
group6363-2, fragment
group15050, fragment
group15051, fragment
group15052, fragment
group15053, fragment
group15054, fragment
group15055, fragment
group15056, fragment
group15057, fragment
group15058, fragment
group15059, fragment
group9722-2, fragment
group684-2, chromosome-04
group684-3, plasmid-Rh01
group4868, chromosome-00
group4869, chromosome-00
group4862, chromosome-00
group4863, chromosome-00
group4860, chromosome-00
group4861, chromosome-00
group4866, chromosome-00
group4867, chromosome-00
group4864, chromosome-00
group4865, chromosome-00
group15946, chromosome-10
group15947, chromosome-10
group15944, chromosome-10
group15945, chromosome-10
group15942, chromosome-24
group15943, chromosome-10
group15940, plasmid-Rh16-circul
group15941, chromosome-24
group15948, chromosome-24
group15949, chromosome-10
group14099, chromosome-00
group14098, chromosome-00
group14093, chromosome-12
group14092, chromosome-12
group14091, chromosome-12
group14090, chromosome-09
group14097, chromosome-00
group14096, chromosome-00
group14095, chromosome-12
group14094, chromosome-12
group3311, chromosome-00
group3310, chromosome-00
group3313, chromosome-00
group19923, fragment
group3315, chromosome-00
group3314, chromosome-00
group3317, chromosome-00
group3316, chromosome-00
group3319, chromosome-00
group3318, chromosome-00
group17548, plasmid-Rh01
group17549, fragment
group17540, chromosome-00
group17541, chromosome-00
group17542, chromosome-00
group17543, chromosome-00
group17544, chromosome-00
group17545, chromosome-00
group17546, chromosome-00
group17547, plasmid-Rh01
group16639, chromosome-04
group16638, chromosome-04
group16631, chromosome-04
group16630, chromosome-02
group16633, chromosome-04
group16632, chromosome-04
group16635, chromosome-04
group16634, fragment
group16637, chromosome-04
group16636, chromosome-04
group13041, plasmid-Rh01
group13040, plasmid-Rh02+Rh07
group13043, plasmid-Rh01
group13042, plasmid-Rh01
group13045, plasmid-Rh01
group13044, plasmid-Rh01
group13047, plasmid-Rh01
group13046, fragment
group13049, plasmid-Rh01
group13048, plasmid-Rh01
group1500, chromosome-01
group1501, chromosome-01
group1506, chromosome-01
group1507, chromosome-01
group1504, chromosome-01
group1505, chromosome-01
group12396, fragment
group12397, fragment
group12394, fragment
group12395, fragment
group12392, fragment
group12393, fragment
group12390, chromosome-05
group12391, plasmid-Rh03
group12398, fragment
group12399, fragment
group9156-2, fragment
group12028, fragment
group12029, plasmid-Rh02
group12020, chromosome-05
group12021, fragment
group12022, fragment
group12023, fragment
group12024, fragment
group12025, chromosome-00
group12026, plasmid-Rh01-circu
group12027, plasmid-Rh01-circu
group7281-2, plasmid-Rh02
group8578, plasmid-Rh03
group8579, plasmid-Rh03
group8570, fragment
group8571, plasmid-Rh03
group8572, plasmid-Rh03
group8573, plasmid-Rh03
group8574, plasmid-Rh03
group8575, plasmid-Rh03
group8576, plasmid-Rh03
group8577, plasmid-Rh03
group7162-2, fragment
group15559, plasmid-Rh01+Rh02
group8101, chromosome-06
group8100, chromosome-07
group15551, chromosome-26
group15550, chromosome-47
group15553, chromosome-13
group15552, chromosome-13
group15555, chromosome-13
group15554, chromosome-13
group15557, chromosome-13
group15556, chromosome-13
group5350, plasmid-Rh02
group5357, plasmid-Rh02
group5356, plasmid-Rh02
group8107, plasmid-Rh05
group8106, plasmid-Rh02
group3409, chromosome-00
group3408, chromosome-00
group3405, chromosome-00
group3404, chromosome-00
group3407, chromosome-00
group3406, chromosome-00
group3401, chromosome-00
group3400, chromosome-00
group3403, chromosome-00
group3402, chromosome-00
group7446-5, fragment
group18897, fragment
group14127, fragment
group18895, fragment
group18894, chromosome-03
group18893, plasmid-Rh08
group18892, plasmid-Rh08
group18891, plasmid-Rh08
group18890, plasmid-Rh08
group11333, chromosome-01
group18899, fragment
group18898, fragment
group11332, chromosome-01
group11335, chromosome-01
group11334, chromosome-01
group11337, chromosome-05
group5591, plasmid-Rh02
group11336, chromosome-05
group5593, plasmid-Rh02
group17471, fragment
group5592, plasmid-Rh02
group7896, chromosome-01
group7897, chromosome-03
group7894, chromosome-01
group7895, chromosome-07
group7892, fragment
group7893, fragment
group7890, fragment
group7891, fragment
group7898, chromosome-01
group7899, chromosome-00
group973, chromosome-01
group972, chromosome-01
group971, chromosome-01
group970, chromosome-01
group977, chromosome-03
group976, chromosome-01
group975, chromosome-01
group974, chromosome-01
group979, chromosome-01
group978, chromosome-01
group1096, chromosome-01
group1097, chromosome-01
group11629, fragment
group11628, fragment
group11623, fragment
group11622, fragment
group11621, fragment
group11620, fragment
group11627, fragment
group11626, fragment
group11625, fragment
group11624, fragment
group18709, plasmid-Rh01-circ
group18708, fragment
group18707, plasmid-Rh01-circ
group18706, chromosome-00
group18705, chromosome-18
group18704, chromosome-18
group18703, chromosome-18
group18702, chromosome-18
group18701, chromosome-18
group18700, chromosome-18
group2784-3, chromosome-09
group2415, chromosome-00
group2414, chromosome-00
group2417, chromosome-00
group2416, chromosome-00
group2411, chromosome-00
group2410, chromosome-00
group2413, chromosome-00
group2412, chromosome-00
group2419, chromosome-00
group2418, chromosome-00
group17708, chromosome-07
group17709, chromosome-04
group17706, chromosome-01
group17707, chromosome-01
group17704, fragment
group17705, chromosome-00
group17702, fragment
group17703, fragment
group17700, chromosome-02
group17701, fragment
group9032, chromosome-04
group9033, fragment
group9030, chromosome-01
group9031, chromosome-00
group9036, fragment
group9037, plasmid-Rh01
group9034, fragment
group9035, chromosome-04
group9038, fragment
group9039, chromosome-00
group10282, fragment
group10283, chromosome-03
group10280, fragment
group10281, fragment
group10286, chromosome-01
group10287, chromosome-01
group10284, chromosome-03
group10285, chromosome-03
group10288, chromosome-03
group10289, chromosome-03
group3955-2, fragment
group124, chromosome-01
group125, chromosome-01
group126, chromosome-01
group127, chromosome-01
group120, chromosome-01
group121, chromosome-01
group122, chromosome-01
group123, chromosome-01
group128, chromosome-01
group129, chromosome-01
group7135, chromosome-01
group7134, chromosome-01
group7137, plasmid-Rh03
group7136, chromosome-01
group7131, fragment
group7130, chromosome-04
group7133, fragment
group7132, fragment
group7139, chromosome-14
group7138, chromosome-04
group12628, fragment
group12629, fragment
group12626, plasmid-Rh08+Rh04
group12627, plasmid-Rh08+Rh04
group12624, plasmid-Rh01
group12625, chromosome-04
group12622, chromosome-04
group12623, chromosome-05
group12620, chromosome-01
group12621, chromosome-01
group20621, fragment
group20620, plasmid-Rh01-circu
group20629, chromosome-10
group20628, chromosome-07
group10918, fragment
group10919, chromosome-01
group10912, plasmid-Rh04
group10913, fragment
group10910, fragment
group10911, chromosome-02
group10916, chromosome-01
group10917, fragment
group10914, chromosome-14
group10915, fragment
group15399, chromosome-00
group15398, chromosome-00
group15397, chromosome-00
group15396, chromosome-04
group15395, chromosome-04
group15394, chromosome-04
group15393, chromosome-01
group15392, chromosome-04
group15391, chromosome-01
group15390, fragment
group11116-2, fragment
group8710, plasmid-Rh04
group10760, fragment
group8712, plasmid-Rh04
group10762, fragment
group8714, plasmid-Rh04
group8715, chromosome-01
group14116, plasmid-Rh02-circ
group14117, plasmid-Rh02-circ
group14114, plasmid-Rh02-circ
group14115, plasmid-Rh02-circ
group14112, plasmid-Rh02-circ
group14113, plasmid-Rh02-circ
group14110, fragment
group14111, plasmid-Rh02-circ
group8717, chromosome-01
group14118, plasmid-Rh02-circ
group14119, plasmid-Rh02
group10769, chromosome-02
group10768, fragment
group8173-3, fragment
group16320-2, plasmid-Rh01
group13236, chromosome-01
group13237, chromosome-01
group13234, chromosome-01
group13235, chromosome-01
group13232, plasmid-Rh01
group13233, plasmid-Rh02
group13230, chromosome-04
group13231, fragment
group13238, chromosome-01
group13239, chromosome-01
group1304, chromosome-01
group1305, chromosome-01
group1306, chromosome-01
group1307, chromosome-01
group1300, chromosome-01
group1301, chromosome-01
group1302, chromosome-01
group1303, chromosome-01
group1308, chromosome-01
group1309, chromosome-01
group9157-2, fragment
group3915-3, fragment
group18277, fragment
group18276, fragment
group18275, fragment
group18274, fragment
group18273, fragment
group18272, fragment
group18271, fragment
group18270, fragment
group9394, chromosome-01
group18279, fragment
group18278, fragment
group2657, chromosome-00
group2656, chromosome-00
group2655, chromosome-00
group2654, chromosome-00
group2653, chromosome-00
group2652, chromosome-00
group2651, chromosome-01
group2650, chromosome-00
group9399, fragment
group2659, chromosome-00
group2658, chromosome-00
group9398, fragment
group8309, fragment
group8308, plasmid-Rh02
group5159, plasmid-Rh01
group5158, plasmid-Rh01
group5155, plasmid-Rh01
group5154, plasmid-Rh01
group5157, plasmid-Rh01
group5156, plasmid-Rh01
group5151, plasmid-Rh01
group5150, plasmid-Rh01
group5153, plasmid-Rh01
group5152, plasmid-Rh01
group7826-2, fragment
group3218, chromosome-00
group3219, chromosome-00
group3214, chromosome-00
group3215, chromosome-00
group3216, chromosome-00
group3217, chromosome-00
group3210, chromosome-00
group3211, chromosome-00
group3212, chromosome-00
group3213, chromosome-00
group9228-3, fragment
group3918-2, fragment
group18912, fragment
group18913, chromosome-01
group18910, fragment
group18911, fragment
group18916, plasmid-Rh08-circ
group18917, fragment
group18914, chromosome-08
group18915, plasmid-Rh05
group18918, fragment
group18919, fragment
group7449, fragment
group7448, fragment
group7445, plasmid-Rh01-circula
group7444, plasmid-Rh08
group7447, fragment
group7446, fragment
group7441, fragment
group7440, plasmid-Rh01
group7443, plasmid-Rh03
group7442, plasmid-Rh01
group1843, chromosome-01
group1842, chromosome-01
group1841, chromosome-01
group1840, chromosome-01
group1847, chromosome-01
group1846, chromosome-01
group1845, chromosome-01
group1844, chromosome-03
group1849, chromosome-01
group1848, chromosome-01
group559, chromosome-01
group1073, chromosome-01
group4365, chromosome-00
group4364, chromosome-00
group14356, chromosome-11
group14357, chromosome-03
group4361, chromosome-00
group14351, chromosome-04
group4363, chromosome-00
group14353, chromosome-02
group4369, chromosome-00
group4368, chromosome-00
group11188, fragment
group11189, fragment
group10859, fragment
group10858, fragment
group10853, plasmid-Rh05
group10852, fragment
group10851, chromosome-04
group10850, fragment
group10857, plasmid-Rh01+Rh04
group10856, fragment
group10855, plasmid-Rh02
group10854, fragment
group553, chromosome-01
group552, chromosome-01
group19669, chromosome-01
group19668, chromosome-01
group19667, chromosome-12
group19666, plasmid-Rh03
group19665, plasmid-Rh02-circ
group19664, plasmid-Rh02-circ
group19663, plasmid-Rh02-circ
group19662, plasmid-Rh01
group19661, plasmid-Rh01
group19660, plasmid-Rh01
group10589, fragment
group10588, chromosome-07
group10585, chromosome-05
group10584, chromosome-05
group10587, chromosome-05
group10586, chromosome-00
group10581, chromosome-03
group10580, fragment
group10583, plasmid-Rh02
group10582, chromosome-07
group11458, chromosome-01
group11459, chromosome-01
group5412, plasmid-Rh02
group11450, chromosome-01
group11451, chromosome-01
group11452, chromosome-01
group11453, chromosome-01
group11454, chromosome-01
group11455, chromosome-01
group11456, chromosome-01
group11457, chromosome-01
group10329, chromosome-05
group10328, fragment
group17119, chromosome-05
group17118, chromosome-05
group10321, chromosome-03
group10320, chromosome-00
group10323, chromosome-00
group10322, chromosome-00
group17113, chromosome-05
group10324, fragment
group10327, fragment
group10326, fragment
group14545, chromosome-01
group18138, chromosome-03
group18139, chromosome-03
group14544, chromosome-01
group18134, chromosome-00
group18135, plasmid-Rh01
group18136, chromosome-00
group18137, chromosome-03
group18130, chromosome-00
group18131, chromosome-00
group18132, chromosome-00
group18133, chromosome-00
group16860, plasmid-Rh04
group16861, plasmid-Rh04
group16862, plasmid-Rh04
group14546, chromosome-01
group16864, plasmid-Rh04
group16865, plasmid-Rh04
group16866, plasmid-Rh03
group16867, plasmid-Rh01
group16868, plasmid-Rh01+Rh07
group16869, plasmid-Rh01+Rh07
group14540, chromosome-01
group14543, chromosome-01
group14542, chromosome-01
group17016, chromosome-01
group17017, chromosome-12
group20269, fragment
group20268, fragment
group20267, fragment
group20266, fragment
group20265, fragment
group20264, fragment
group20263, fragment
group20262, fragment
group20261, fragment
group20260, fragment
group10046, fragment
group17019, chromosome-03
group6189, fragment
group6188, fragment
group6187, fragment
group6186, fragment
group6185, plasmid-Rh01
group6184, plasmid-Rh01
group6183, plasmid-Rh01
group6182, plasmid-Rh01
group6181, plasmid-Rh01
group6180, plasmid-Rh01
group16248, fragment
group16249, chromosome-01
group16244, chromosome-00
group16245, plasmid-Rh03
group16246, plasmid-Rh03
group16247, plasmid-Rh03
group16240, plasmid-Rh03
group16241, plasmid-Rh03
group16242, plasmid-Rh03
group16243, plasmid-Rh03
group9205, fragment
group9204, plasmid-Rh02-circula
group9207, plasmid-Rh02
group9206, plasmid-Rh02
group9201, plasmid-Rh02
group9200, fragment
group9203, plasmid-Rh02
group9202, plasmid-Rh02
group9209, fragment
group9208, plasmid-Rh02
group6455, plasmid-Rh02
group6454, plasmid-Rh02
group6457, fragment
group6456, plasmid-Rh02
group6451, fragment
group6450, plasmid-Rh02
group6453, plasmid-Rh02
group6452, plasmid-Rh04
group6459, plasmid-Rh01
group6458, plasmid-Rh08
group13748, fragment
group13749, fragment
group13746, fragment
group13747, fragment
group13744, fragment
group13745, fragment
group13742, fragment
group13743, fragment
group13740, fragment
group13741, fragment
group15740, chromosome-12
group15741, chromosome-03
group15742, chromosome-06
group15743, chromosome-06
group15744, chromosome-06
group15745, chromosome-03
group15746, chromosome-03
group15747, chromosome-03
group15748, chromosome-03
group15749, chromosome-00
group6912-2, fragment
group14831, fragment
group14830, plasmid-Rh02
group14833, chromosome-24
group14832, chromosome-13
group14835, fragment
group14834, chromosome-18
group14837, fragment
group14836, fragment
group14839, chromosome-27
group14838, chromosome-06
group6777-2, plasmid-Rh01
group15279-2, fragment
group17878, chromosome-07
group17879, chromosome-07
group17870, chromosome-07
group17871, chromosome-07
group17872, chromosome-07
group17873, chromosome-07
group17874, chromosome-07
group17875, chromosome-07
group17876, chromosome-07
group17877, chromosome-07
group5716-2, plasmid-Rh02
group5716-3, fragment
group11036-2, plasmid-Rh02
group4167, chromosome-00
group4166, chromosome-00
group4165, chromosome-00
group4164, chromosome-00
group4163, chromosome-00
group4162, chromosome-00
group4161, chromosome-00
group4160, chromosome-00
group4169, chromosome-00
group4168, chromosome-00
group8808, chromosome-00
group8809, chromosome-00
group8800, fragment
group8801, chromosome-01
group8802, chromosome-01
group8803, chromosome-01
group8804, chromosome-01
group8805, chromosome-01
group8806, chromosome-01
group8807, chromosome-01
group19469, chromosome-00
group19468, chromosome-00
group19465, chromosome-00
group19464, chromosome-12
group19467, chromosome-00
group19466, chromosome-00
group19461, chromosome-05
group19460, chromosome-05
group19463, chromosome-05
group19462, chromosome-04
group5696, plasmid-Rh02
group5697, plasmid-Rh02
group1535, chromosome-01
group5695, plasmid-Rh02
group5692, plasmid-Rh02
group5693, plasmid-Rh02
group5690, plasmid-Rh02
group5691, plasmid-Rh02
group5698, plasmid-Rh02
group5699, plasmid-Rh02
group8118, fragment
group8119, chromosome-01
group5348, plasmid-Rh02
group5349, plasmid-Rh02
group8112, fragment
group5345, plasmid-Rh02
group5346, plasmid-Rh02
group8111, chromosome-06
group5340, plasmid-Rh02
group5341, plasmid-Rh02
group5342, plasmid-Rh02
group8115, chromosome-01
group18332, fragment
group18333, fragment
group18330, fragment
group18331, fragment
group18336, fragment
group18337, fragment
group18334, fragment
group18335, fragment
group18338, fragment
group18339, fragment
group20069, fragment
group20068, fragment
group20065, fragment
group20064, fragment
group20067, fragment
group20066, fragment
group20061, fragment
group20060, fragment
group20063, fragment
group20062, fragment
group3979, chromosome-00
group3978, chromosome-00
group3975, fragment
group3974, fragment
group3977, fragment
group3976, fragment
group3971, fragment
group3970, fragment
group3973, fragment
group3972, fragment
group2378, chromosome-01
group2379, chromosome-00
group4233, chromosome-00
group2374, chromosome-01
group2375, chromosome-01
group2376, chromosome-01
group2377, chromosome-01
group2370, chromosome-01
group2371, chromosome-00
group2372, chromosome-01
group2373, chromosome-01
group8946, fragment
group12833, plasmid-Rh02
group9447, plasmid-Rh06
group9446, fragment
group9445, fragment
group9444, plasmid-Rh02
group9443, fragment
group9442, plasmid-Rh02+Rh04
group9441, chromosome-00
group9440, plasmid-Rh02
group9449, plasmid-Rh04
group9448, plasmid-Rh02
group6617, plasmid-Rh02
group6616, fragment
group6615, plasmid-Rh02
group6614, plasmid-Rh02
group6613, plasmid-Rh02
group6612, plasmid-Rh02
group6611, plasmid-Rh02
group6610, plasmid-Rh02
group6619, chromosome-01
group6618, plasmid-Rh02
group3399, chromosome-00
group3398, chromosome-00
group9999, plasmid-Rh02
group9998, fragment
group9995, chromosome-01
group9994, plasmid-Rh02
group9997, fragment
group9996, chromosome-00
group9991, chromosome-10
group9990, plasmid-Rh01-circ
group3397, chromosome-00
group9992, fragment
group20933, chromosome-01
group20932, chromosome-01
group20931, chromosome-01
group20930, chromosome-00
group20937, chromosome-01
group20936, chromosome-01
group20935, chromosome-01
group20934, chromosome-01
group20939, chromosome-01
group20938, chromosome-01
group3029, chromosome-00
group3028, chromosome-00
group3027, chromosome-00
group3026, chromosome-00
group3025, chromosome-00
group3024, chromosome-00
group3023, chromosome-00
group3022, chromosome-00
group3021, chromosome-00
group3020, chromosome-00
group21084, fragment
group21085, fragment
group21086, fragment
group21087, fragment
group21080, chromosome-17
group21081, chromosome-17
group21082, fragment
group21083, fragment
group21088, fragment
group21089, fragment
group3919-2, fragment
group5776-2, plasmid-Rh04
group8781-2, plasmid-Rh02-circula
group19148, chromosome-03
group19149, fragment
group19142, plasmid-Rh01-circ
group19143, fragment
group19140, plasmid-Rh01-circ
group19141, plasmid-Rh01-circ
group19146, chromosome-03
group19147, chromosome-03
group19144, plasmid-Rh04-circ
group19145, chromosome-03
group15626, plasmid-Rh08
group7952, plasmid-Rh02
group14679, fragment
group14678, fragment
group14677, fragment
group14676, fragment
group14675, fragment
group14674, fragment
group14673, fragment
group14672, fragment
group14671, fragment
group14670, fragment
group17098, chromosome-03
group17099, plasmid-Rh05
group17092, fragment
group17093, fragment
group17090, fragment
group17091, fragment
group17096, fragment
group17097, chromosome-03
group17094, fragment
group17095, chromosome-06
group9006-5, fragment
group17328, fragment
group17329, plasmid-Rh02+Rh04
group17324, chromosome-12
group17325, fragment
group17326, chromosome-01
group17327, chromosome-00
group17320, fragment
group17321, fragment
group17322, fragment
group17323, chromosome-00
group20548, chromosome-04
group20549, chromosome-01
group20542, chromosome-40
group20543, chromosome-10
group20540, fragment
group20541, fragment
group20546, chromosome-00
group20547, chromosome-00
group20544, chromosome-09
group20545, chromosome-09
group12318, fragment
group12319, fragment
group12316, chromosome-05
group12317, chromosome-00
group12314, fragment
group12315, fragment
group12312, fragment
group12313, fragment
group12310, chromosome-03
group12311, fragment
group13959, fragment
group13958, chromosome-01
group13957, chromosome-01
group13956, fragment
group13955, chromosome-00
group13954, fragment
group13953, chromosome-00
group13952, chromosome-00
group13951, chromosome-00
group13950, fragment
group8080-2, fragment
group6239-3, fragment
group6239-2, fragment
group10741-2, chromosome-08
group7818, chromosome-06
group7819, chromosome-01
group7816, chromosome-06
group7817, chromosome-06
group7814, chromosome-00
group7815, chromosome-03
group7812, chromosome-09
group7813, chromosome-03
group7810, fragment
group7811, chromosome-01
group18921, chromosome-07
group6414-3, fragment
group11037-2, chromosome-06
group2744-2, chromosome-01
group2947, chromosome-00
group2946, chromosome-00
group2945, chromosome-00
group2944, chromosome-00
group2943, chromosome-00
group2942, chromosome-00
group2941, chromosome-00
group2940, chromosome-00
group2949, chromosome-00
group2948, chromosome-00
group4736, chromosome-00
group19789, chromosome-20
group4734, chromosome-00
group4735, chromosome-00
group4732, chromosome-00
group4733, chromosome-00
group4730, chromosome-00
group4731, chromosome-00
group19780, chromosome-06
group19781, chromosome-06
group19782, chromosome-00
group19783, fragment
group19784, plasmid-Rh08-circ
group19785, fragment
group19786, fragment
group19787, fragment
group8639, fragment
group8638, fragment
group8633, chromosome-04
group8632, chromosome-01
group8631, fragment
group8630, plasmid-Rh01-circu
group8637, fragment
group8636, fragment
group8635, chromosome-05
group8634, chromosome-05
group9123-2, chromosome-08
group10170, chromosome-07
group10171, fragment
group10172, chromosome-01
group10173, chromosome-01
group10174, chromosome-05
group10175, chromosome-00
group10176, chromosome-07
group10177, fragment
group10178, fragment
group10179, chromosome-00
group12707-2, fragment
group18787, chromosome-18
group18786, chromosome-18
group18785, chromosome-18
group18784, chromosome-18
group18783, chromosome-15
group18782, chromosome-14
group18781, chromosome-14
group18780, chromosome-14
group18789, plasmid-Rh01-circ
group18788, chromosome-18
group5069, plasmid-Rh01
group5068, plasmid-Rh01
group5061, plasmid-Rh01
group5060, plasmid-Rh01
group5063, plasmid-Rh01
group5062, plasmid-Rh01
group5065, plasmid-Rh01
group5064, plasmid-Rh01
group5067, plasmid-Rh01
group5066, plasmid-Rh01
group1766, chromosome-01
group1767, chromosome-01
group1764, chromosome-01
group1765, chromosome-01
group1762, chromosome-01
group1763, chromosome-01
group1760, chromosome-01
group1761, chromosome-01
group1768, chromosome-01
group1769, chromosome-01
group3999, chromosome-00
group2499, chromosome-00
group2498, chromosome-00
group2495, chromosome-00
group2494, chromosome-00
group2497, chromosome-00
group2496, chromosome-00
group2491, chromosome-00
group2490, chromosome-00
group2493, chromosome-00
group2492, chromosome-00
group3728, chromosome-00
group3729, chromosome-00
group3724, chromosome-00
group3725, chromosome-00
group3726, chromosome-00
group3727, chromosome-00
group3720, chromosome-00
group3721, chromosome-00
group3722, chromosome-00
group3723, chromosome-00
group656, chromosome-01
group657, chromosome-03
group654, chromosome-01
group655, chromosome-01
group652, chromosome-01
group653, chromosome-01
group650, chromosome-01
group651, chromosome-01
group658, chromosome-01
group659, chromosome-01
group20388, chromosome-01
group20389, fragment
group16435, fragment
group16434, fragment
group16433, plasmid-Rh04
group16432, plasmid-Rh04
group16431, plasmid-Rh04
group16430, plasmid-Rh04
group20380, chromosome-07
group20381, fragment
group20382, plasmid-Rh04
group20383, fragment
group20384, plasmid-Rh16-circul
group20385, chromosome-01
group20386, chromosome-01
group16438, fragment
group2239, chromosome-01
group2238, chromosome-01
group2231, chromosome-01
group2230, chromosome-01
group2233, chromosome-01
group2232, chromosome-01
group2235, chromosome-01
group2234, chromosome-01
group2237, chromosome-01
group2236, chromosome-01
group21163, chromosome-09
group21162, chromosome-23
group21161, fragment
group21160, chromosome-23
group21167, plasmid-Rh07
group21166, chromosome-11
group21165, chromosome-34
group21164, fragment
group21169, fragment
group21168, plasmid-Rh07
group10258-2, chromosome-03
group6806, plasmid-Rh04
group6807, plasmid-Rh04
group6804, fragment
group6805, plasmid-Rh04
group6802, fragment
group6803, plasmid-Rh04
group6800, plasmid-Rh04
group6801, plasmid-Rh04
group6808, fragment
group6809, fragment
group12724-2, chromosome-00
group12724-3, fragment
group12842, chromosome-13
group12843, chromosome-13
group12840, chromosome-12
group12841, chromosome-13
group12846, chromosome-13
group12847, chromosome-13
group12844, chromosome-13
group12845, chromosome-13
group12848, chromosome-13
group12849, chromosome-13
group10992, plasmid-Rh01-circula
group10993, chromosome-04
group10990, plasmid-Rh03
group10991, fragment
group10996, chromosome-00
group10997, fragment
group10994, fragment
group10995, fragment
group10998, chromosome-04
group10999, fragment
group15317, chromosome-04
group15316, chromosome-04
group15315, chromosome-04
group15314, plasmid-Rh03
group15313, chromosome-04
group15312, fragment
group15311, chromosome-04
group15310, chromosome-04
group15319, chromosome-06
group15318, plasmid-Rh01+Rh04
group11270-3, fragment
group5777-2, plasmid-Rh06
group5490, plasmid-Rh02
group10672, chromosome-00
group10671, chromosome-00
group5493, plasmid-Rh02
group17654, fragment
group10677, chromosome-00
group10676, chromosome-00
group15865, chromosome-01
group15864, chromosome-01
group15867, chromosome-01
group15866, chromosome-03
group15861, chromosome-14
group10675, chromosome-00
group15863, chromosome-01
group15862, chromosome-01
group10674, chromosome-00
group15869, chromosome-03
group15868, chromosome-03
group1502, chromosome-01
group11348, chromosome-00
group11349, chromosome-00
group14198, fragment
group14199, fragment
group11340, chromosome-05
group11341, chromosome-01
group11342, chromosome-01
group11343, chromosome-01
group11344, chromosome-01
group11345, chromosome-00
group11346, chromosome-00
group11347, chromosome-00
group1503, chromosome-01
group17656, fragment
group14738, fragment
group14739, fragment
group14732, fragment
group14733, fragment
group14730, fragment
group14731, fragment
group14736, fragment
group14737, fragment
group14734, fragment
group14735, fragment
group10439, plasmid-Rh01
group10438, plasmid-Rh01
group17429, plasmid-Rh04
group17428, plasmid-Rh04
group10431, chromosome-05
group10430, fragment
group10433, plasmid-Rh01
group10432, plasmid-Rh01
group10435, plasmid-Rh01
group10434, plasmid-Rh01
group10437, plasmid-Rh01
group10436, plasmid-Rh01
group16778, chromosome-00
group16779, chromosome-00
group16774, chromosome-00
group16775, chromosome-11
group16776, chromosome-11
group16777, chromosome-11
group16770, chromosome-04
group16771, chromosome-04
group16772, chromosome-04
group16773, chromosome-05
group3907-2, fragment
group5100, plasmid-Rh01
group5772-2, plasmid-Rh04
group5772-3, plasmid-Rh04
group6375-2, fragment
group13858, fragment
group13859, fragment
group13852, fragment
group13853, fragment
group13850, fragment
group13851, plasmid-Rh01
group13856, fragment
group13857, fragment
group13854, fragment
group13855, plasmid-Rh07
group6273-2, plasmid-Rh01
group12109, chromosome-17
group12108, chromosome-17
group12107, chromosome-01
group12106, chromosome-02
group12105, chromosome-04
group12104, fragment
group12103, fragment
group12102, plasmid-Rh03
group12101, plasmid-Rh02
group12100, plasmid-Rh02
group9773-2, plasmid-Rh03
group5105, plasmid-Rh01
group8439, chromosome-00
group8438, chromosome-00
group8435, chromosome-00
group8434, chromosome-00
group8437, chromosome-00
group8436, chromosome-00
group8431, chromosome-00
group8430, chromosome-00
group8433, chromosome-00
group8432, chromosome-00
group8383, chromosome-01
group8382, chromosome-01
group8381, chromosome-01
group8380, chromosome-01
group8387, chromosome-01
group8386, chromosome-01
group8385, chromosome-01
group8384, chromosome-01
group8389, fragment
group8388, chromosome-02
group15458, plasmid-Rh07
group15459, plasmid-Rh15
group15454, chromosome-00
group15455, fragment
group15456, plasmid-Rh15
group15457, chromosome-01
group15450, chromosome-05
group15451, chromosome-00
group15452, chromosome-00
group15453, chromosome-00
group3528, chromosome-00
group3529, chromosome-00
group3526, chromosome-00
group3527, chromosome-00
group3524, chromosome-00
group3525, chromosome-00
group3522, chromosome-00
group3523, chromosome-00
group3520, chromosome-00
group3521, chromosome-00
group3294, chromosome-00
group3295, chromosome-00
group3296, chromosome-00
group3297, chromosome-00
group3290, chromosome-00
group3291, chromosome-00
group3292, chromosome-00
group3293, chromosome-00
group3298, chromosome-00
group3299, chromosome-00
group887-2, fragment
group8716, chromosome-01
group4358, chromosome-00
group4359, chromosome-00
group4354, chromosome-00
group7999, chromosome-01
group7998, fragment
group4355, chromosome-00
group7993, plasmid-Rh01
group7992, fragment
group7991, fragment
group7990, fragment
group7997, fragment
group7996, fragment
group7995, fragment
group7994, fragment
group4357, chromosome-00
group14321, chromosome-05
group14320, chromosome-05
group14323, fragment
group4353, chromosome-00
group17671, fragment
group1668, chromosome-01
group5409, plasmid-Rh02
group5408, plasmid-Rh02
group1742, chromosome-00
group5405, plasmid-Rh02
group14867-2, fragment
group5404, plasmid-Rh02
group11108, chromosome-01
group11109, chromosome-01
group11106, chromosome-01
group11107, chromosome-01
group11104, chromosome-01
group11105, chromosome-01
group11102, plasmid-Rh03
group11103, fragment
group11100, plasmid-Rh03
group11101, plasmid-Rh03
group19379, chromosome-04
group19378, chromosome-04
group19375, chromosome-01
group19374, chromosome-01
group19377, chromosome-04
group19376, chromosome-04
group19371, fragment
group19370, plasmid-Rh01
group19373, plasmid-Rh08
group19372, plasmid-Rh08
group18422, chromosome-12
group18423, chromosome-00
group18420, chromosome-04
group18421, fragment
group18426, chromosome-00
